,Unnamed: 0.1,Unnamed: 0,part_id,hh_id,part_age,part_gender,cont_id,cnt_age_est_min,cnt_age_est_max,cnt_gender,phys_contact,duration_multi,hh_size,sday_id,dayofweek,day,month,year,cnt_age_distances,cnt_age_exact,degree
26741,26741,148254,E15_505370,HHE15_505370,14.0,M,E15_505370001,35.0,39.0,F,2.0,4.0,4.0,2021-02-17,3,17,2,21,4.0,35.0,3
26742,26742,148255,E15_505370,HHE15_505370,14.0,M,E15_505370002,5.0,11.0,F,2.0,5.0,4.0,2021-02-17,3,17,2,21,6.0,11.0,3
26743,26743,148256,E15_505370,HHE15_505370,14.0,M,E15_505370003,5.0,11.0,M,1.0,5.0,4.0,2021-02-17,3,17,2,21,6.0,8.0,3
26744,26744,148257,E15_505371,HHE15_505371,57.0,M,E15_505371001,70.0,74.0,F,1.0,4.0,4.0,2021-02-23,2,23,2,21,4.0,72.0,4
26745,26745,148258,E15_505371,HHE15_505371,57.0,M,E15_505371002,80.0,84.0,M,2.0,2.0,4.0,2021-02-23,2,23,2,21,4.0,84.0,4
26746,26746,148259,E15_505371,HHE15_505371,57.0,M,E15_505371003,45.0,54.0,M,2.0,2.0,4.0,2021-02-23,2,23,2,21,9.0,47.0,4
26747,26747,148260,E15_505371,HHE15_505371,57.0,M,E15_505371004,,,M,2.0,1.0,4.0,2021-02-23,2,23,2,21,,60.0,4
26748,26748,148261,E15_505372,HHE15_505372,32.0,M,,,,,,,1.0,2021-02-17,3,17,2,21,,,0
26749,26749,148262,E15_505378,,,,E15_505378001,20.0,24.0,F,1.0,5.0,,2021-02-17,3,17,2,21,4.0,24.0,3
26750,26750,148263,E15_505378,,,,E15_505378002,1.0,4.0,M,1.0,5.0,,2021-02-17,3,17,2,21,3.0,1.0,3
26751,26751,148264,E15_505378,,,,E15_505378003,1.0,4.0,M,1.0,5.0,,2021-02-17,3,17,2,21,3.0,4.0,3
26752,26752,148265,E15_505379,HHE15_505379,30.0,F,,,,,,,1.0,2021-02-17,3,17,2,21,,,0
26753,26753,148266,E15_505380,HHE15_505380,27.0,F,E15_505380001,1.0,4.0,F,2.0,4.0,3.0,2021-02-18,4,18,2,21,3.0,3.0,1
26754,26754,148267,E15_505383,HHE15_505383,32.0,F,E15_505383001,35.0,44.0,M,1.0,5.0,4.0,2021-02-23,2,23,2,21,9.0,42.0,3
26755,26755,148268,E15_505383,HHE15_505383,32.0,F,E15_505383002,5.0,11.0,M,1.0,5.0,4.0,2021-02-23,2,23,2,21,6.0,5.0,3
26756,26756,148269,E15_505383,HHE15_505383,32.0,F,E15_505383003,1.0,4.0,F,1.0,5.0,4.0,2021-02-23,2,23,2,21,3.0,3.0,3
26757,26757,148270,E15_505386,HHE15_505386,113.0,M,E15_505386001,70.0,74.0,M,2.0,5.0,3.0,2021-02-23,2,23,2,21,4.0,73.0,2
26758,26758,148271,E15_505386,HHE15_505386,113.0,M,E15_505386002,75.0,79.0,F,2.0,5.0,3.0,2021-02-23,2,23,2,21,4.0,76.0,2
