,Unnamed: 0.1,Unnamed: 0,part_id,hh_id,part_age,part_gender,cont_id,cnt_age_est_min,cnt_age_est_max,cnt_gender,phys_contact,duration_multi,hh_size,sday_id,dayofweek,day,month,year,cnt_age_distances,cnt_age_exact,degree
43731,43731,224015,E20_507252,HHE20_507252,56.0,M,E20_507252001,45.0,54.0,F,1.0,5.0,2.0,2021-04-28,3,28,4,21,9.0,48.0,3
43732,43732,224016,E20_507252,HHE20_507252,56.0,M,E20_507252002,20.0,24.0,F,2.0,4.0,2.0,2021-04-28,3,28,4,21,4.0,24.0,3
43733,43733,224017,E20_507252,HHE20_507252,56.0,M,E20_507252003,20.0,24.0,F,2.0,4.0,2.0,2021-04-28,3,28,4,21,4.0,21.0,3
43734,43734,224018,E20_507257,HHE20_507257,55.0,F,E20_507257001,45.0,54.0,M,1.0,5.0,2.0,2021-05-01,6,1,5,21,9.0,50.0,1
43735,43735,224019,E20_507258,HHE20_507258,14.0,M,E20_507258001,50.0,54.0,M,2.0,2.0,4.0,2021-05-02,0,2,5,21,4.0,52.0,3
43736,43736,224020,E20_507258,HHE20_507258,14.0,M,E20_507258002,45.0,54.0,F,2.0,2.0,4.0,2021-05-02,0,2,5,21,9.0,49.0,3
43737,43737,224021,E20_507258,HHE20_507258,14.0,M,E20_507258003,20.0,24.0,F,2.0,3.0,4.0,2021-05-02,0,2,5,21,4.0,21.0,3
43738,43738,224022,E20_507261,HHE20_507261,65.0,F,E20_507261001,55.0,64.0,M,1.0,5.0,2.0,2021-05-02,0,2,5,21,9.0,63.0,2
43739,43739,224023,E20_507261,HHE20_507261,65.0,F,E20_507261002,45.0,54.0,M,2.0,1.0,2.0,2021-05-02,0,2,5,21,9.0,47.0,2
43740,43740,224024,E20_507262,HHE20_507262,7.0,M,E20_507262001,40.0,44.0,M,1.0,5.0,4.0,2021-04-28,3,28,4,21,4.0,40.0,3
43741,43741,224025,E20_507262,HHE20_507262,7.0,M,E20_507262002,25.0,34.0,F,1.0,5.0,4.0,2021-04-28,3,28,4,21,9.0,31.0,3
43742,43742,224026,E20_507262,HHE20_507262,7.0,M,E20_507262003,1.0,4.0,F,1.0,5.0,4.0,2021-04-28,3,28,4,21,3.0,2.0,3
43743,43743,224027,E20_507266,HHE20_507266,16.0,F,E20_507266001,35.0,39.0,F,1.0,5.0,4.0,2021-04-29,4,29,4,21,4.0,35.0,7
43744,43744,224028,E20_507266,HHE20_507266,16.0,F,E20_507266002,35.0,44.0,M,1.0,5.0,4.0,2021-04-29,4,29,4,21,9.0,43.0,7
43745,43745,224029,E20_507266,HHE20_507266,16.0,F,E20_507266003,5.0,11.0,M,1.0,5.0,4.0,2021-04-29,4,29,4,21,6.0,6.0,7
43746,43746,224030,E20_507266,HHE20_507266,16.0,F,E20_507266004,10.0,14.0,,2.0,4.0,4.0,2021-04-29,4,29,4,21,4.0,12.0,7
43747,43747,224031,E20_507266,HHE20_507266,16.0,F,E20_507266005,10.0,14.0,,2.0,4.0,4.0,2021-04-29,4,29,4,21,4.0,11.0,7
43748,43748,224032,E20_507266,HHE20_507266,16.0,F,E20_507266006,10.0,14.0,,2.0,4.0,4.0,2021-04-29,4,29,4,21,4.0,11.0,7
43749,43749,224033,E20_507266,HHE20_507266,16.0,F,E20_507266007,65.0,69.0,M,2.0,3.0,4.0,2021-04-29,4,29,4,21,4.0,66.0,7
43750,43750,224034,E20_507268,HHE20_507268,35.0,M,E20_507268001,25.0,34.0,F,1.0,5.0,2.0,2021-05-02,0,2,5,21,9.0,27.0,1
43751,43751,224035,E20_507269,HHE20_507269,53.0,F,,,,,,,2.0,2021-04-28,3,28,4,21,,,0
43752,43752,224036,E20_507273,HHE20_507273,7.0,M,E20_507273001,45.0,49.0,M,1.0,5.0,5.0,2021-05-03,1,3,5,21,4.0,49.0,4
43753,43753,224037,E20_507273,HHE20_507273,7.0,M,E20_507273002,35.0,44.0,F,1.0,5.0,5.0,2021-05-03,1,3,5,21,9.0,42.0,4
43754,43754,224038,E20_507273,HHE20_507273,7.0,M,E20_507273003,1.0,4.0,M,1.0,5.0,5.0,2021-05-03,1,3,5,21,3.0,2.0,4
43755,43755,224039,E20_507273,HHE20_507273,7.0,M,E20_507273004,1.0,4.0,M,1.0,5.0,5.0,2021-05-03,1,3,5,21,3.0,2.0,4
43756,43756,224040,E20_507275,HHE20_507275,8.0,F,E20_507275001,45.0,49.0,M,1.0,5.0,5.0,2021-05-01,6,1,5,21,4.0,47.0,4
43757,43757,224041,E20_507275,HHE20_507275,8.0,F,E20_507275002,35.0,44.0,F,1.0,5.0,5.0,2021-05-01,6,1,5,21,9.0,36.0,4
43758,43758,224042,E20_507275,HHE20_507275,8.0,F,E20_507275003,5.0,11.0,F,1.0,5.0,5.0,2021-05-01,6,1,5,21,6.0,10.0,4
43759,43759,224043,E20_507275,HHE20_507275,8.0,F,E20_507275004,1.0,4.0,F,1.0,5.0,5.0,2021-05-01,6,1,5,21,3.0,1.0,4
43760,43760,224044,E20_507277,HHE20_507277,62.0,F,E20_507277001,55.0,64.0,M,1.0,5.0,2.0,2021-05-04,2,4,5,21,9.0,63.0,3
43761,43761,224045,E20_507277,HHE20_507277,62.0,F,E20_507277002,25.0,34.0,F,2.0,3.0,2.0,2021-05-04,2,4,5,21,9.0,25.0,3
43762,43762,224046,E20_507277,HHE20_507277,62.0,F,E20_507277003,45.0,54.0,F,2.0,1.0,2.0,2021-05-04,2,4,5,21,9.0,51.0,3
43763,43763,224047,E20_507281,HHE20_507281,7.0,M,E20_507281001,45.0,49.0,F,1.0,5.0,2.0,2021-04-28,3,28,4,21,4.0,48.0,1
43764,43764,224048,E20_507292,HHE20_507292,15.0,M,E20_507292001,45.0,49.0,F,1.0,5.0,4.0,2021-04-28,3,28,4,21,4.0,46.0,3
43765,43765,224049,E20_507292,HHE20_507292,15.0,M,E20_507292002,45.0,54.0,M,1.0,5.0,4.0,2021-04-28,3,28,4,21,9.0,49.0,3
43766,43766,224050,E20_507292,HHE20_507292,15.0,M,E20_507292003,12.0,15.0,F,1.0,5.0,4.0,2021-04-28,3,28,4,21,3.0,12.0,3
43767,43767,224051,E20_507300,HHE20_507300,12.0,F,E20_507300001,50.0,54.0,F,1.0,4.0,4.0,2021-04-28,3,28,4,21,4.0,50.0,6
43768,43768,224052,E20_507300,HHE20_507300,12.0,F,E20_507300002,45.0,54.0,M,1.0,4.0,4.0,2021-04-28,3,28,4,21,9.0,50.0,6
43769,43769,224053,E20_507300,HHE20_507300,12.0,F,E20_507300003,20.0,24.0,F,1.0,4.0,4.0,2021-04-28,3,28,4,21,4.0,22.0,6
43770,43770,224054,E20_507300,HHE20_507300,12.0,F,E20_507300004,10.0,14.0,F,2.0,4.0,4.0,2021-04-28,3,28,4,21,4.0,14.0,6
43771,43771,224055,E20_507300,HHE20_507300,12.0,F,E20_507300005,10.0,14.0,F,2.0,4.0,4.0,2021-04-28,3,28,4,21,4.0,13.0,6
43772,43772,224056,E20_507300,HHE20_507300,12.0,F,E20_507300006,10.0,14.0,F,2.0,4.0,4.0,2021-04-28,3,28,4,21,4.0,14.0,6
43773,43773,224057,E20_507306,HHE20_507306,67.0,M,E20_507306001,55.0,64.0,F,1.0,5.0,2.0,2021-04-28,3,28,4,21,9.0,64.0,1
43774,43774,224058,E20_507308,HHE20_507308,38.0,M,E20_507308001,25.0,34.0,F,1.0,5.0,3.0,2021-05-02,0,2,5,21,9.0,34.0,2
43775,43775,224059,E20_507308,HHE20_507308,38.0,M,E20_507308002,75.0,79.0,F,2.0,4.0,3.0,2021-05-02,0,2,5,21,4.0,78.0,2
43776,43776,224060,E20_507312,HHE20_507312,52.0,F,E20_507312001,25.0,34.0,F,1.0,5.0,4.0,2021-04-28,3,28,4,21,9.0,31.0,7
43777,43777,224061,E20_507312,HHE20_507312,52.0,F,E20_507312002,20.0,24.0,F,1.0,4.0,4.0,2021-04-28,3,28,4,21,4.0,20.0,7
43778,43778,224062,E20_507312,HHE20_507312,52.0,F,E20_507312003,12.0,15.0,F,1.0,5.0,4.0,2021-04-28,3,28,4,21,3.0,13.0,7
43779,43779,224063,E20_507312,HHE20_507312,52.0,F,E20_507312004,25.0,34.0,F,2.0,3.0,4.0,2021-04-28,3,28,4,21,9.0,27.0,7
43780,43780,224064,E20_507312,HHE20_507312,52.0,F,E20_507312005,1.0,4.0,F,1.0,5.0,4.0,2021-04-28,3,28,4,21,3.0,2.0,7
43781,43781,224065,E20_507312,HHE20_507312,52.0,F,E20_507312006,70.0,74.0,M,2.0,3.0,4.0,2021-04-28,3,28,4,21,4.0,73.0,7
43782,43782,224066,E20_507312,HHE20_507312,52.0,F,E20_507312007,55.0,64.0,M,2.0,3.0,4.0,2021-04-28,3,28,4,21,9.0,55.0,7
43783,43783,224067,E20_507314,HHE20_507314,63.0,F,E20_507314001,65.0,69.0,M,1.0,5.0,2.0,2021-05-03,1,3,5,21,4.0,69.0,1
43784,43784,224068,E20_507315,HHE20_507315,52.0,M,E20_507315001,80.0,84.0,F,2.0,5.0,2.0,2021-04-28,3,28,4,21,4.0,83.0,1
43785,43785,224069,E20_507319,HHE20_507319,64.0,F,,,,,,,1.0,2021-05-03,1,3,5,21,,,0
43786,43786,224070,E20_507320,HHE20_507320,50.0,M,E20_507320001,55.0,64.0,F,1.0,5.0,2.0,2021-04-28,3,28,4,21,9.0,59.0,1
43787,43787,224071,E20_507321,HHE20_507321,7.0,M,E20_507321001,50.0,54.0,F,1.0,5.0,2.0,2021-04-28,3,28,4,21,4.0,54.0,42
43788,43788,224072,E20_507321,HHE20_507321,7.0,M,E20_507321002,45.0,54.0,M,2.0,4.0,2.0,2021-04-28,3,28,4,21,9.0,54.0,42
43789,43789,224073,E20_507321,HHE20_507321,7.0,M,E20_507321003,45.0,54.0,F,2.0,1.0,2.0,2021-04-28,3,28,4,21,9.0,45.0,42
43790,43790,224074,E20_507321,HHE20_507321,7.0,M,E20_507321004,,,M,2.0,5.0,2.0,2021-04-28,3,28,4,21,,41.0,42
43791,43791,224075,E20_507321,HHE20_507321,7.0,M,E20_507321005,5.0,9.0,F,1.0,5.0,2.0,2021-04-28,3,28,4,21,4.0,9.0,42
43792,43792,224076,E20_507321,HHE20_507321,7.0,M,E20_507321006,5.0,9.0,M,1.0,4.0,2.0,2021-04-28,3,28,4,21,4.0,8.0,42
43793,43793,224077,E20_507321,HHE20_507321,7.0,M,E20_507321007,5.0,9.0,M,1.0,4.0,2.0,2021-04-28,3,28,4,21,4.0,7.0,42
43794,43794,224078,E20_507321,HHE20_507321,7.0,M,E20_507321008,45.0,54.0,F,2.0,4.0,2.0,2021-04-28,3,28,4,21,9.0,52.0,42
43795,43795,224079,E20_507321,HHE20_507321,7.0,M,E20_507321009,45.0,54.0,F,2.0,1.0,2.0,2021-04-28,3,28,4,21,9.0,47.0,42
43796,43796,224080,E20_507321,HHE20_507321,7.0,M,E20_507321010,45.0,54.0,F,2.0,4.0,2.0,2021-04-28,3,28,4,21,9.0,52.0,42
43797,43797,224081,E20_507321,HHE20_507321,7.0,M,E20_507321011,45.0,54.0,F,2.0,2.0,2.0,2021-04-28,3,28,4,21,9.0,49.0,42
43798,43798,224082,E20_507321,HHE20_507321,7.0,M,E20_507321012,45.0,54.0,F,1.0,3.0,2.0,2021-04-28,3,28,4,21,9.0,47.0,42
43799,43799,224083,E20_507321,HHE20_507321,7.0,M,E20_507321013,45.0,54.0,F,1.0,3.0,2.0,2021-04-28,3,28,4,21,9.0,49.0,42
43800,43800,224084,E20_507321,HHE20_507321,7.0,M,E20_507321014,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,5.0,42
43801,43801,224085,E20_507321,HHE20_507321,7.0,M,E20_507321015,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,11.0,42
43802,43802,224086,E20_507321,HHE20_507321,7.0,M,E20_507321016,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,6.0,42
43803,43803,224087,E20_507321,HHE20_507321,7.0,M,E20_507321017,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,17.0,42
43804,43804,224088,E20_507321,HHE20_507321,7.0,M,E20_507321018,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,5.0,42
43805,43805,224089,E20_507321,HHE20_507321,7.0,M,E20_507321019,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,10.0,42
43806,43806,224090,E20_507321,HHE20_507321,7.0,M,E20_507321020,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,9.0,42
43807,43807,224091,E20_507321,HHE20_507321,7.0,M,E20_507321021,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,4.0,42
43808,43808,224092,E20_507321,HHE20_507321,7.0,M,E20_507321022,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,5.0,42
43809,43809,224093,E20_507321,HHE20_507321,7.0,M,E20_507321023,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,13.0,42
43810,43810,224094,E20_507321,HHE20_507321,7.0,M,E20_507321024,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,17.0,42
43811,43811,224095,E20_507321,HHE20_507321,7.0,M,E20_507321025,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,11.0,42
43812,43812,224096,E20_507321,HHE20_507321,7.0,M,E20_507321026,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,9.0,42
43813,43813,224097,E20_507321,HHE20_507321,7.0,M,E20_507321027,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,6.0,42
43814,43814,224098,E20_507321,HHE20_507321,7.0,M,E20_507321028,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,11.0,42
43815,43815,224099,E20_507321,HHE20_507321,7.0,M,E20_507321029,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,2.0,42
43816,43816,224100,E20_507321,HHE20_507321,7.0,M,E20_507321030,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,7.0,42
43817,43817,224101,E20_507321,HHE20_507321,7.0,M,E20_507321031,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,10.0,42
43818,43818,224102,E20_507321,HHE20_507321,7.0,M,E20_507321032,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,9.0,42
43819,43819,224103,E20_507321,HHE20_507321,7.0,M,E20_507321033,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,16.0,42
43820,43820,224104,E20_507321,HHE20_507321,7.0,M,E20_507321034,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,16.0,42
43821,43821,224105,E20_507321,HHE20_507321,7.0,M,E20_507321035,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,2.0,42
43822,43822,224106,E20_507321,HHE20_507321,7.0,M,E20_507321036,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,8.0,42
43823,43823,224107,E20_507321,HHE20_507321,7.0,M,E20_507321037,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,5.0,42
43824,43824,224108,E20_507321,HHE20_507321,7.0,M,E20_507321038,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,10.0,42
43825,43825,224109,E20_507321,HHE20_507321,7.0,M,E20_507321039,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,7.0,42
43826,43826,224110,E20_507321,HHE20_507321,7.0,M,E20_507321040,0.0,17.0,,2.0,,2.0,2021-04-28,3,28,4,21,17.0,17.0,42
43827,43827,224111,E20_507321,HHE20_507321,7.0,M,E20_507321041,18.0,64.0,,2.0,,2.0,2021-04-28,3,28,4,21,46.0,68.0,42
43828,43828,224112,E20_507321,HHE20_507321,7.0,M,E20_507321042,18.0,64.0,,2.0,,2.0,2021-04-28,3,28,4,21,46.0,38.0,42
43829,43829,224113,E20_507324,HHE20_507324,26.0,F,E20_507324001,25.0,34.0,M,1.0,5.0,1.0,2021-04-29,4,29,4,21,9.0,29.0,1
43830,43830,224114,E20_507327,HHE20_507327,42.0,M,E20_507327001,45.0,54.0,M,1.0,5.0,2.0,2021-04-28,3,28,4,21,9.0,46.0,1
43831,43831,224115,E20_507333,HHE20_507333,41.0,M,E20_507333001,35.0,44.0,F,1.0,5.0,5.0,2021-04-28,3,28,4,21,9.0,42.0,7
43832,43832,224116,E20_507333,HHE20_507333,41.0,M,E20_507333002,16.0,17.0,F,1.0,5.0,5.0,2021-04-28,3,28,4,21,1.0,17.0,7
43833,43833,224117,E20_507333,HHE20_507333,41.0,M,E20_507333003,12.0,15.0,F,1.0,4.0,5.0,2021-04-28,3,28,4,21,3.0,15.0,7
43834,43834,224118,E20_507333,HHE20_507333,41.0,M,E20_507333004,5.0,11.0,M,1.0,4.0,5.0,2021-04-28,3,28,4,21,6.0,10.0,7
43835,43835,224119,E20_507333,HHE20_507333,41.0,M,E20_507333005,35.0,44.0,F,2.0,4.0,5.0,2021-04-28,3,28,4,21,9.0,36.0,7
43836,43836,224120,E20_507333,HHE20_507333,41.0,M,E20_507333006,45.0,54.0,M,2.0,4.0,5.0,2021-04-28,3,28,4,21,9.0,46.0,7
43837,43837,224121,E20_507333,HHE20_507333,41.0,M,E20_507333007,25.0,34.0,F,1.0,3.0,5.0,2021-04-28,3,28,4,21,9.0,26.0,7
43838,43838,224122,E20_507340,HHE20_507340,26.0,F,E20_507340001,25.0,34.0,F,1.0,4.0,3.0,2021-04-28,3,28,4,21,9.0,27.0,2
43839,43839,224123,E20_507340,HHE20_507340,26.0,F,E20_507340002,70.0,74.0,M,1.0,4.0,3.0,2021-04-28,3,28,4,21,4.0,71.0,2
43840,43840,224124,E20_507342,HHE20_507342,55.0,M,E20_507342001,45.0,54.0,F,1.0,4.0,1.0,2021-04-28,3,28,4,21,9.0,49.0,1
43841,43841,224125,E20_507345,HHE20_507345,16.0,M,E20_507345001,45.0,49.0,F,2.0,4.0,4.0,2021-05-02,0,2,5,21,4.0,46.0,8
43842,43842,224126,E20_507345,HHE20_507345,16.0,M,E20_507345002,45.0,54.0,M,2.0,4.0,4.0,2021-05-02,0,2,5,21,9.0,51.0,8
