,part_id,duration_multi,frequency_multi
0,A10_10001,5.0,1.0
1,A10_10001,5.0,1.0
2,A10_10001,5.0,1.0
3,A10_10002,5.0,1.0
4,A10_10003,5.0,1.0
5,A10_10004,5.0,1.0
6,A10_10006,4.0,1.0
7,A10_10008,5.0,1.0
8,A10_10008,1.0,3.0
9,A10_10010,5.0,1.0
10,A10_10011,5.0,5.0
11,A10_10011,3.0,2.0
12,A10_10011,2.0,5.0
13,A10_10013,5.0,1.0
14,A10_10016,5.0,2.0
15,A10_10017,1.0,1.0
16,A10_10017,,
17,A10_10018,5.0,1.0
18,A10_10019,4.0,1.0
19,A10_10023,5.0,4.0
20,A10_10023,5.0,1.0
21,A10_10023,2.0,2.0
22,A10_10023,1.0,4.0
23,A10_10023,,
24,A10_10023,,
25,A10_10023,,
26,A10_10023,,
27,A10_10023,,
28,A10_10023,,
29,A10_10023,,
30,A10_10023,,
31,A10_10023,,
32,A10_10023,,
33,A10_10023,,
34,A10_10023,,
35,A10_10024,3.0,1.0
36,A10_10024,4.0,1.0
37,A10_10024,5.0,2.0
38,A10_10024,5.0,2.0
39,A10_10024,3.0,2.0
40,A10_10028,5.0,1.0
41,A10_10029,5.0,1.0
42,A10_10029,5.0,1.0
43,A10_10029,5.0,1.0
44,A10_10030,5.0,1.0
45,A10_10030,5.0,1.0
46,A10_10030,5.0,1.0
47,A10_10033,5.0,1.0
48,A10_10034,5.0,1.0
49,A10_10034,5.0,1.0
50,A10_10037,5.0,1.0
51,A10_10038,5.0,1.0
52,A10_10038,4.0,1.0
53,A10_10038,5.0,1.0
54,A10_10038,5.0,1.0
55,A10_10039,5.0,1.0
56,A10_10039,5.0,1.0
57,A10_10039,5.0,1.0
58,A10_10040,5.0,1.0
59,A10_10040,4.0,1.0
60,A10_10040,5.0,1.0
61,A10_10040,3.0,4.0
62,A10_10041,5.0,2.0
63,A10_10041,4.0,5.0
64,A10_10041,3.0,2.0
65,A10_10043,2.0,5.0
66,A10_10044,3.0,2.0
67,A10_10044,2.0,3.0
68,A10_10044,,
69,A10_10044,,
70,A10_10045,5.0,1.0
71,A10_10048,5.0,1.0
72,A10_10049,5.0,1.0
73,A10_10049,5.0,1.0
74,A10_10051,3.0,4.0
75,A10_10052,5.0,2.0
76,A10_10052,1.0,2.0
77,A10_10053,5.0,1.0
78,A10_10053,5.0,1.0
79,A10_10053,4.0,5.0
80,A10_10054,5.0,1.0
81,A10_10055,2.0,2.0
82,A10_10056,5.0,1.0
83,A10_10056,5.0,1.0
84,A10_10056,5.0,1.0
85,A10_10058,5.0,1.0
86,A10_10059,5.0,1.0
87,A10_10060,4.0,1.0
88,A10_10060,5.0,1.0
89,A10_10060,4.0,1.0
90,A10_10060,3.0,1.0
91,A10_10060,3.0,2.0
92,A10_10060,3.0,2.0
93,A10_10061,5.0,1.0
94,A10_10064,5.0,1.0
95,A10_10064,1.0,2.0
96,A10_10064,2.0,5.0
97,A10_10065,5.0,1.0
98,A10_10066,5.0,1.0
99,A10_10068,5.0,3.0
100,A10_10068,1.0,1.0
101,A10_10068,5.0,3.0
102,A10_10068,5.0,3.0
103,A10_10068,2.0,3.0
104,A10_10068,4.0,3.0
105,A10_10069,5.0,1.0
106,A10_10070,5.0,1.0
107,A10_10071,5.0,1.0
108,A10_10072,5.0,
109,A10_10072,4.0,
110,A10_10074,3.0,2.0
111,A10_10074,2.0,2.0
112,A10_10076,5.0,2.0
113,A10_10076,5.0,1.0
114,A10_10076,2.0,5.0
115,A10_10076,1.0,2.0
116,A10_10076,1.0,2.0
117,A10_10076,2.0,3.0
118,A10_10076,1.0,2.0
119,A10_10078,5.0,1.0
120,A10_10078,1.0,5.0
121,A10_10078,,
122,A10_10078,,
123,A10_10078,,
124,A10_10079,5.0,1.0
125,A10_10079,5.0,1.0
126,A10_10079,,
127,A10_10079,,
128,A10_10079,,
129,A10_10079,,
130,A10_10079,,
131,A10_10079,,
132,A10_10079,,
133,A10_10079,,
134,A10_10079,,
135,A10_10079,,
136,A10_10079,,
137,A10_10079,,
138,A10_10079,,
139,A10_10079,,
140,A10_10079,,
141,A10_10079,,
142,A10_10079,,
143,A10_10079,,
144,A10_10079,,
145,A10_10079,,
146,A10_10079,,
147,A10_10079,,
148,A10_10079,,
149,A10_10079,,
150,A10_10079,,
151,A10_10079,,
152,A10_10079,,
153,A10_10079,,
154,A10_10079,,
155,A10_10079,,
156,A10_10079,,
157,A10_10079,,
158,A10_10079,,
159,A10_10079,,
160,A10_10079,,
161,A10_10079,,
162,A10_10079,,
163,A10_10079,,
164,A10_10079,,
165,A10_10079,,
166,A10_10079,,
167,A10_10079,,
168,A10_10079,,
169,A10_10079,,
170,A10_10079,,
171,A10_10079,,
172,A10_10079,,
173,A10_10079,,
174,A10_10079,,
175,A10_10079,,
176,A10_10079,,
177,A10_10079,,
178,A10_10079,,
179,A10_10079,,
180,A10_10079,,
181,A10_10079,,
182,A10_10079,,
183,A10_10079,,
184,A10_10079,,
185,A10_10079,,
186,A10_10079,,
187,A10_10079,,
188,A10_10079,,
189,A10_10079,,
190,A10_10079,,
191,A10_10079,,
192,A10_10079,,
193,A10_10079,,
194,A10_10079,,
195,A10_10079,,
196,A10_10079,,
197,A10_10079,,
198,A10_10079,,
199,A10_10079,,
200,A10_10079,,
201,A10_10079,,
202,A10_10079,,
203,A10_10079,,
204,A10_10079,,
205,A10_10079,,
206,A10_10080,4.0,1.0
207,A10_10080,4.0,1.0
208,A10_10080,4.0,2.0
209,A10_10080,4.0,2.0
210,A10_10080,4.0,2.0
211,A10_10080,1.0,2.0
212,A10_10083,5.0,1.0
213,A10_10084,5.0,1.0
214,A10_10084,1.0,5.0
215,A10_10085,4.0,1.0
216,A10_10087,5.0,1.0
217,A10_10087,4.0,1.0
218,A10_10087,4.0,1.0
219,A10_10087,4.0,1.0
220,A10_10087,4.0,1.0
221,A10_10089,5.0,1.0
222,A10_10090,5.0,1.0
223,A10_10090,5.0,1.0
224,A10_10091,5.0,2.0
225,A10_10091,4.0,2.0
226,A10_10091,4.0,2.0
227,A10_10093,5.0,1.0
228,A10_10096,5.0,1.0
229,A10_10097,5.0,1.0
230,A10_10098,5.0,1.0
231,A10_10099,5.0,1.0
232,A10_10099,1.0,5.0
233,A10_10099,1.0,5.0
234,A10_10103,5.0,1.0
235,A10_10104,5.0,1.0
236,A10_10105,4.0,1.0
237,A10_10105,4.0,2.0
238,A10_10106,3.0,2.0
239,A10_10106,3.0,2.0
240,A10_10108,5.0,1.0
241,A10_10109,3.0,1.0
242,A10_10109,2.0,3.0
243,A10_10109,2.0,3.0
244,A10_10111,,
245,A10_10111,,
246,A10_10111,,
247,A10_10111,,
248,A10_10111,,
249,A10_10111,,
250,A10_10111,,
251,A10_10111,,
252,A10_10111,,
253,A10_10111,,
254,A10_10111,,
255,A10_10111,,
256,A10_10111,,
257,A10_10111,,
258,A10_10111,,
259,A10_10111,,
260,A10_10111,,
261,A10_10111,,
262,A10_10111,,
263,A10_10111,,
264,A10_10111,,
265,A10_10111,,
266,A10_10111,,
267,A10_10111,,
268,A10_10111,,
269,A10_10111,,
270,A10_10111,,
271,A10_10111,,
272,A10_10111,,
273,A10_10111,,
274,A10_10111,,
275,A10_10111,,
276,A10_10111,,
277,A10_10111,,
278,A10_10111,,
279,A10_10111,,
280,A10_10111,,
281,A10_10111,,
282,A10_10111,,
283,A10_10111,,
284,A10_10111,,
285,A10_10111,,
286,A10_10111,,
287,A10_10111,,
288,A10_10111,,
289,A10_10111,,
290,A10_10111,,
291,A10_10111,,
292,A10_10111,,
293,A10_10111,,
294,A10_10111,,
295,A10_10111,,
296,A10_10111,,
297,A10_10111,,
298,A10_10111,,
299,A10_10111,,
300,A10_10111,,
301,A10_10111,,
302,A10_10111,,
303,A10_10111,,
304,A10_10111,,
305,A10_10111,,
306,A10_10111,,
307,A10_10111,,
308,A10_10111,,
309,A10_10111,,
310,A10_10111,,
311,A10_10111,,
312,A10_10111,,
313,A10_10111,,
314,A10_10111,,
315,A10_10111,,
316,A10_10113,1.0,5.0
317,A10_10115,5.0,1.0
318,A10_10115,5.0,2.0
319,A10_10117,5.0,1.0
320,A10_10117,4.0,2.0
321,A10_10117,4.0,2.0
322,A10_10117,4.0,2.0
323,A10_10118,5.0,1.0
324,A10_10118,5.0,1.0
325,A10_10118,4.0,1.0
326,A10_10118,4.0,1.0
327,A10_10118,4.0,1.0
328,A10_10119,5.0,2.0
329,A10_10120,5.0,1.0
330,A10_10121,5.0,1.0
331,A10_10122,5.0,1.0
332,A10_10122,1.0,2.0
333,A10_10122,4.0,1.0
334,A10_10122,,
335,A10_10122,,
336,A10_10122,,
337,A10_10122,,
